df,60,70,80,85,90,95,98,99,995,999
1,1.376,1.963,3.133,4.195,6.32,12.69,31.81,63.67,318.289,636.578
2,1.06,1.385,1.883,2.278,2.912,4.271,6.816,9.52,19.65,26.3
3,0.978,1.25,1.637,1.924,2.352,3.179,4.525,5.797,9.937,12.39
4,0.941,1.19,1.533,1.778,2.132,2.776,3.744,4.596,7.115,8.499
5,0.919,1.156,1.476,1.699,2.015,2.57,3.365,4.03,5.876,6.835
6,0.906,1.134,1.44,1.65,1.943,2.447,3.143,3.707,5.201,5.946
7,0.896,1.119,1.415,1.617,1.895,2.365,2.999,3.5,4.783,5.403
8,0.889,1.108,1.397,1.592,1.86,2.306,2.897,3.356,4.5,5.039
9,0.883,1.1,1.383,1.574,1.833,2.262,2.822,3.25,4.297,4.78
10,0.879,1.093,1.372,1.559,1.813,2.228,2.764,3.17,4.144,4.586
11,0.875,1.088,1.363,1.548,1.796,2.201,2.719,3.106,4.025,4.437
12,0.873,1.083,1.356,1.538,1.782,2.179,2.682,3.055,3.93,4.318
13,0.87,1.079,1.35,1.53,1.771,2.16,2.651,3.013,3.852,4.221
14,0.868,1.076,1.345,1.523,1.761,2.145,2.625,2.977,3.788,4.141
15,0.866,1.074,1.341,1.517,1.753,2.131,2.603,2.947,3.733,4.073
16,0.865,1.071,1.337,1.512,1.746,2.12,2.584,2.921,3.687,4.015
17,0.863,1.069,1.333,1.508,1.74,2.11,2.567,2.899,3.646,3.965
18,0.862,1.067,1.33,1.504,1.734,2.101,2.553,2.879,3.611,3.922
19,0.861,1.066,1.328,1.5,1.729,2.093,2.54,2.861,3.58,3.884
20,0.86,1.064,1.325,1.497,1.725,2.086,2.529,2.846,3.552,3.85
21,0.859,1.063,1.323,1.494,1.721,2.08,2.518,2.832,3.528,3.82
22,0.858,1.061,1.321,1.492,1.717,2.074,2.509,2.819,3.505,3.792
23,0.857,1.06,1.319,1.489,1.714,2.069,2.5,2.808,3.485,3.768
24,0.857,1.059,1.318,1.487,1.711,2.064,2.493,2.797,3.467,3.746
25,0.856,1.058,1.316,1.485,1.708,2.06,2.486,2.788,3.451,3.725
26,0.856,1.058,1.315,1.483,1.706,2.056,2.479,2.779,3.435,3.707
27,0.855,1.057,1.314,1.482,1.703,2.052,2.473,2.771,3.421,3.69
28,0.855,1.056,1.313,1.48,1.701,2.048,2.468,2.764,3.409,3.674
29,0.854,1.055,1.311,1.479,1.699,2.045,2.463,2.757,3.397,3.66
30,0.854,1.055,1.31,1.477,1.697,2.042,2.458,2.75,3.386,3.646
